2020-04-30 14:55:49,406 [MainThread  ] Experiment road_map_cvar16_bce
2020-04-30 16:32:45,863 [MainThread  ] train batch 100 / 315 (iter 3250), current average result {'KLD_loss': tensor(0.0153, grad_fn=<DivBackward0>), 'loss': tensor(0.6967, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.6814, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.2652, grad_fn=<DivBackward0>)}
2020-04-30 16:33:30,356 [MainThread  ] train batch 35 / 315 (iter 3500), current average result {'KLD_loss': tensor(0.0144, grad_fn=<DivBackward0>), 'loss': tensor(0.6955, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.6811, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.2647, grad_fn=<DivBackward0>)}
2020-04-30 16:34:10,632 [MainThread  ] train batch 285 / 315 (iter 3750), current average result {'KLD_loss': tensor(0.0137, grad_fn=<DivBackward0>), 'loss': tensor(0.6947, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.6810, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.2648, grad_fn=<DivBackward0>)}
2020-04-30 16:34:55,313 [MainThread  ] train batch 220 / 315 (iter 4000), current average result {'KLD_loss': tensor(0.0131, grad_fn=<DivBackward0>), 'loss': tensor(0.6940, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.6808, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.2648, grad_fn=<DivBackward0>)}
2020-04-30 16:34:55,314 [MainThread  ] Evaluate on  custom_sup:val data
2020-04-30 16:35:07,786 [MainThread  ] Evalutation complete
Average result {'KLD_loss': tensor(0.0658), 'loss': tensor(0.7596), 'recon_loss': tensor(0.6938), 'ts_road_map': tensor(0.2971)}
2020-04-30 16:35:07,787 [MainThread  ] Best validation updated: {'current_iter': 4000, 'best_iter': 4000, 'best_performance': tensor(0.7596)}
2020-04-30 16:35:07,881 [MainThread  ] Save parameters for ./results/road_map_cvar16_bce/finetune_custom_sup_best.ckpt
2020-04-30 16:35:52,653 [MainThread  ] train batch 155 / 315 (iter 4250), current average result {'KLD_loss': tensor(0.0076, grad_fn=<DivBackward0>), 'loss': tensor(0.6871, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.6795, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.2635, grad_fn=<DivBackward0>)}
